证券代码,公司中文名称
118210.SZ,襄阳华中光彩大市场物业管理有限公司
032100468.IB,襄阳市住房投资有限公司
135357.SH,西安紫薇地产开发有限公司
193636.SH,西安高新区保障房投资建设发展有限公司
139373.SH,西安高新技术产业开发区创业园发展中心
114443.SH,西安高新技术产业开发区房地产开发有限公司
2088.HK,西王置业控股有限公司
600773.SH,西藏城市发展投资股份有限公司
000838.SZ,财信地产发展集团股份有限公司
118446.SZ,贵阳城南投资开发(集团)有限公司
124014.SH,贵阳市公共住宅投资建设(集团)有限公司
0123.HK,越秀地产股份有限公司
2286.HK,辰兴发展控股有限公司
082100637.IB,远洋控股集团(中国)有限公司
3377.HK,远洋集团控股有限公司
118610.SZ,连云港房政置业有限公司
125746.SH,连云港振兴实业集团有限公司
102380544.IB,重庆华宇集团有限公司
ZC16101018.SZ,重庆协信远创实业有限公司
600565.SH,重庆市迪马实业股份有限公司
082000455.IB,重庆康田置业(集团)有限公司
000514.SZ,重庆渝开发股份有限公司
118498.SZ,重庆爱普地产(集团)有限公司
118432.SZ,重庆聚丰房地产开发(集团)有限公司
102381811.IB,重庆西永微电子产业园区开发有限公司
118524.SZ,重庆远洋红星企业发展有限公司
1382041.IB,重庆高科集团有限公司
102180071.IB,重庆龙湖企业拓展有限公司
112482.SZ,金世旗国际控股股份有限公司
600383.SH,金地(集团)股份有限公司
0009.HK,金奥国际股份有限公司
000656.SZ,金科地产集团股份有限公司
000402.SZ,金融街控股股份有限公司
9993.HK,金辉控股(集团)有限公司
189920.SH,金辉集团股份有限公司
175616.SH,鑫苑(中国)置业有限公司
1902.HK,银城国际控股有限公司
112014.SZ,银基烯碳新材料集团股份有限公司
0565.HK,锦艺集团控股有限公司
0583.HK,长城环亚控股有限公司
145453.SH,长沙市麓城置业有限责任公司
032100998.IB,长沙麓谷实业发展股份有限公司
600745.SH,闻泰科技股份有限公司
000671.SZ,阳光城集团股份有限公司
000608.SZ,阳光新业地产股份有限公司
137900.SZ,陕西金泰恒业房地产有限公司
118832.SZ,隆基泰和置业有限公司
3383.HK,雅居乐集团控股有限公司
600177.SH,雅戈尔集团股份有限公司
150653.SH,青岛海信房地产股份有限公司
159030.SH,青岛海尚海生活服务集团有限公司
000631.SZ,顺发恒业股份公司
145774.SH,颐和地产集团有限公司
122025.SH,首创置业有限公司
600223.SH,鲁商福瑞达医药股份有限公司
119484.SZ,鲁能集团有限公司
600510.SH,黑牡丹(集团)股份有限公司
3380.HK,龙光集团有限公司
0960.HK,龙湖集团控股有限公司
